CUT REGIONAL,Comuna,Establecimiento,Teléfono,,,,,
1101,Iquique,Centro Clínico Militar Iquique,572518182,,,,,
1101,Iquique,Centro Médico y Dental Megasalud Iquique,572510540,,,,,
1101,Iquique,Centro de Salud Mutual CChC Iquique,572422735,,,,,
1101,Iquique,Policlínico Naval de Iquique,572517187,,,,,
1101,Iquique,Policlínico FACH de Iquique,,,,,,
1101,Iquique,Policlínico Carabineros de Iquique,572557040,,,,,
1404,Pica,Clínica Coposa Cía. Minera Doña Inés de Collahuasi,572516621,,,,,
1107,Alto Hospicio,Clínica Establecimiento Penitenciario Alto Hospicio,572512602,,,,,
1101,Iquique,Centro de Atención Instituto de Seguridad del Trabajador Iquique,572425667,,,,,
1101,Iquique,Policlínico del Trabajador AChS Iquique,572402914,,,,,
1101,Iquique,Vacunatorio Sonrisa Infantil,572420708,,,,,
1107,Alto Hospicio,Centro Médico y Dental Megasalud Alto Hospicio,572361245,,,,,
1101,Iquique,Vacunatorio Vacumed,572514121,,,,,
1101,Iquique,Centro de Salud Universidad Arturo Prat,572394745,,,,,
1101,Iquique,Laboratorio Clínico Bionet,572421789,,,,,
1101,Iquique,Laboratorio Clínico Automatizado Elmo,572412599,,,,,
1101,Iquique,Laboratorio Clínico Automatizado Biogénesis,572418759,,,,,
1101,Iquique,Clinicum Laboratorio Automatizado Ltda.,572496331,,,,,
1101,Iquique,Centro de Diálisis Medicen,572322175,,,,,
1101,Iquique,Centro de Diálisis Iquique,572422242,,,,,
1101,Iquique,Centro de Diálisis Corporación Paúl Harris,572431880,,,,,
1101,Iquique,Laboratorio Clínico Iquilab,572391242,,,,,
1101,Iquique,Laboratorio Clínico Playa Brava,572393544,,,,,
1107,Alto Hospicio,Laboratorio Clínico del Norte,572434899,,,,,
1101,Iquique,Laboratorio Clínico OASIS S.A.C.,572423022,,,,,
1101,Iquique,Laboratorio Clínico Wallace Ltda.,572214743,,,,,
1101,Iquique,Centro de Diálisis la Tirana,572447964,,,,,
1101,Iquique,Laboratorio Clínico Costanera,572332877,,,,,
1101,Iquique,Laboratorio Clínico Arauco Ltda.,572415240,,,,,
1101,Iquique,Centro de Salud Familiar Cirujano Aguirre,800500105,,,,,
1101,Iquique,Centro de Salud Familiar Cirujano Videla,800500107,,,,,
1101,Iquique,Centro de Salud Familiar Cirujano Guzmán,800500106,,,,,
1401,Pozo Almonte,Centro de Salud Familiar Pozo Almonte,572761214,,,,,
1404,Pica,Centro de Salud Familiar Dr. Juan Márquez Vismarra,572741306,,,,,
1107,Alto Hospicio,Centro de Salud Familiar Pedro Pulgar Melgarejo,800500108,,,,,
1101,Iquique,Centro de Salud Familiar Sur de Iquique,800500109,,,,,
1107,Alto Hospicio,Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez,,,,,,
1405,Huara,Centro de Salud Familiar Dr. Amador Neghme Rodríguez,,,,,,
1403,Camiña,Centro de Salud Familiar Camiña,,,,,,
1402,Colchane,Centro de Salud Familiar Colchane,,,,,,
1405,Huara,Posta de Salud Rural Pisagua,,,,,,
1405,Huara,Posta de Salud Rural Huara,,,,,,
1405,Huara,Posta de Salud Rural Tarapacá,,,,,,
1401,Pozo Almonte,Posta de Salud Rural Mamiña,,,,,,
1403,Camiña,Posta de Salud Rural Camiña,,,,,,
1402,Colchane,Posta de Salud Rural Colchane,,,,,,
1401,Pozo Almonte,Posta de Salud Rural La Tirana,,,,,,
1405,Huara,Posta de Salud Rural Chiapa,,,,,,
1403,Camiña,Posta de Salud Rural Moquella,,,,,,
1402,Colchane,Posta de Salud Rural Enquelga,,,,,,
1405,Huara,Posta de Salud Rural Sibaya,,,,,,
1404,Pica,Posta de Salud Rural Cancosa,,,,,,
1101,Iquique,Posta de Salud Rural Chanavayita,,,,,,
1101,Iquique,Posta de Salud Rural San Marcos,,,,,,
1401,Pozo Almonte,Posta de Salud Rural La Huayca,,,,,,
1402,Colchane,Posta de Salud Rural Cariquima,,,,,,
1404,Pica,Posta de Salud Rural Matilla,,,,,,
1101,Iquique,COSAM Dr. Jorge Seguel Cáceres,572613668,,,,,
1101,Iquique,COSAM Salvador Allende,,,,,,
1107,Alto Hospicio,COSAM Enrique París,573079321,,,,,
1101,Iquique,Centro Comunitario de Salud Familiar Cerro Esmeralda,,,,,,
1107,Alto Hospicio,Centro Comunitario de Salud Familiar El Boro,572406750,,,,,
1101,Iquique,SAPU Cirujano Aguirre,572573568,,,,,
1101,Iquique,SAPU Cirujano Videla,572329704,,,,,
1101,Iquique,SAPU Cirujano Guzmán,572573574,,,,,
1401,Pozo Almonte,SAPU Pozo Almonte,572406767,,,,,
1107,Alto Hospicio,SAPU Pedro Pulgar Melgarejo,562581636,,,,,
1101,Iquique,SAR Sur de Iquique,572536836,,,,,
1107,Alto Hospicio,SAPU El Boro,562581636,,,,,
1107,Alto Hospicio,Laboratorio Clínico Wallace SpA.,,,,,,
1405,Huara,Posta de Salud Rural Pachica,,,,,,
1107,Alto Hospicio,Laboratorio Clínico TREZ-000,,,,,,
1101,Iquique,Laboratorio Clínico de Nueva Clínica Tarapacá,572421566,,,,,
1101,Iquique,Instituto de Rehabilitación Infantil TELETÓN (Iquique),572588888,,,,,
1107,Alto Hospicio,Centro Comunitario de Salud Familiar La Tortuga,,,,,,
2201,Calama,Vacunatorio y Sala de Procedimientos Daniela Alvarez,87611957,,,,,
2201,Calama,SAR Alemania,556100,,,,,
2101,Antofagasta,Laboratorio Clínico Atenea,,,,,,
2201,Calama,Centro Comunitario de Salud Familiar Oasis,552557310,,,,,
2101,Antofagasta,Instituto de Rehabilitación Infantil TELETÓN (Antofagasta),552683100,,,,,
2101,Antofagasta,Laboratorio Clínico Kausay,552241028,,,,,
2101,Antofagasta,Policlínico Gendarmería Regional de Antofagasta,552897184,,,,,
2101,Antofagasta,COSAM Norte,657330,,,,,
2101,Antofagasta,Vacunatorio Minimed,988646617,,,,,
2101,Antofagasta,Laboratorio Clínico Austral,982591593,,,,,
2101,Antofagasta,Centro Oncológico del Norte (CON),,,,,,
2201,Calama,Instituto de Rehabilitación Infantil TELETÓN (Calama),552695400,,,,,
2101,Antofagasta,Centro de Salud Familiar Valdivieso,,,,,,
2101,Antofagasta,Laboratorio Clínico Lavoisier,552893523,,,,,
2101,Antofagasta,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta),,,,,,
2101,Antofagasta,PRAIS (S.S Antofagasta),,,,,,
2101,Antofagasta,Clínica Dental Móvil Simple. Pat. PW4072 (Antofagasta),,,,,,
2101,Antofagasta,Clínica Dental Móvil Triple. Pat. BBZV82 (Antofagasta),552655434,,,,,
2101,Antofagasta,Hospital Dr. Leonardo Guzmán (Antofagasta),552204648,,,,,
2201,Calama,Hospital Dr. Carlos Cisternas (Calama),552655700,,,,,
2301,Tocopilla,Hospital Dr. Marcos Macuada (Tocopilla),552654560,,,,,
2104,Taltal,Hospital 21 de Mayo (Taltal),552656300,,,,,
2102,Mejillones,Hospital de Mejillones,552655250,,,,,
2101,Antofagasta,Centro Oncológico Ambulatorio,552655909,,,,,
2302,Maria Elena,Hospital Cruz del Norte,552413700,,,,,
2101,Antofagasta,Clínica Antofagasta,552208201,,,,,
2101,Antofagasta,Hospital Militar del Norte,552353000,,,,,
2201,Calama,Clínica Mutual de Seguridad CChC de Calama,552332309,,,,,
2101,Antofagasta,Clínica Baquedano,552208210,,,,,
2101,Antofagasta,Clínica Urológica,552263540,,,,,
2101,Antofagasta,Clínica Oriente,552247799,,,,,
2301,Tocopilla,Clínica Mutual de Seguridad CChC Tocopilla,552811140,,,,,
2201,Calama,Clínica El Loa,552363737,,,,,
2201,Calama,Hospital del Cobre Salvador Allende,552320112,,,,,
2101,Antofagasta,Clínica La Portada,552694277,,,,,
2201,Calama,Laboratorio Clínico Calama,552344799,,,,,
2101,Antofagasta,Clínica Oftalmológica (Mas Visión),552264006,,,,,
2101,Antofagasta,Clínica Cumbres del Norte S.A.,552450600,,,,,
2201,Calama,Centro Médico y Dental Megasalud Calama,552312103,,,,,
2101,Antofagasta,Centro Médico y Dental Megasalud Antofagasta,552410590,,,,,
2101,Antofagasta,Centro de Salud Mutual CChC Antofagasta,552251802,,,,,
2101,Antofagasta,Policlínico del Trabajador AChS Antofagasta,552355200,,,,,
2101,Antofagasta,Centro Médico Norte,552292134,,,,,
2101,Antofagasta,Consultorio Bautista,552232041,,,,,
2101,Antofagasta,Laboratorio Clínico Ehrlich,552382540,,,,,
2101,Antofagasta,Policlínico Mantos Blancos,552259852,,,,,
2201,Calama,Centro de Salud Victoria Saravia Crespo,552311388,,,,,
2201,Calama,Centro de Salud Aidoret Caro,552346945,,,,,
2101,Antofagasta,Centro de Salud Clinisan,552260810,,,,,
2101,Antofagasta,Centro de Salud Sanymed,552494193,,,,,
2201,Calama,Clínica de la Familia El Loa,552424803,,,,,
2101,Antofagasta,Sociedad Diálisis Nordial Ltda.,552268824,,,,,
2101,Antofagasta,Centro Médico y Dental Zona Antofagasta,552755303,,,,,
2201,Calama,Consultorio Prefectura de El Loa,552755125,,,,,
2101,Antofagasta,Policlínico Instituto de Seguridad del Trabajo,552254812,,,,,
2201,Calama,Laboratorio Diagnos,552531452,,,,,
2201,Calama,Laboratorio High Clinic,552941647,,,,,
2201,Calama,Laboratorio Tecmed Ltda.,552345680,,,,,
2101,Antofagasta,Laboratorio Histonor,552556511,,,,,
2101,Antofagasta,Laboratorio Diagnolab (Antofagasta),552564024,,,,,
2101,Antofagasta,Laboratorio Luis Pasteur,552263604,,,,,
2101,Antofagasta,Laboratorio Bionet,552626281,,,,,
2101,Antofagasta,Laboratorio Clinilab (Antofagasta),552383063,,,,,
2101,Antofagasta,Laboratorio Clínico Blanco,552458605,,,,,
2101,Antofagasta,Laboratorio Radiolab,552226384,,,,,
2101,Antofagasta,Doctor'Lab. Ltda.,552557681,,,,,
2201,Calama,Centro de Diálisis Calama,552833148,,,,,
2101,Antofagasta,Clínica de Diálisis TECDIAL Ltda.,552555211,,,,,
2101,Antofagasta,Laboratorio Clínico Labclin,552449426,,,,,
2101,Antofagasta,Laboratorio Dipreca,552260552,,,,,
2101,Antofagasta,Laboratorio Clínico Galeno,552288915,,,,,
2101,Antofagasta,Laboratorio Clínico Madison EIRL,552258838,,,,,
2201,Calama,Laboratorio Clínico Salumed,552833235,,,,,
2201,Calama,Laboratorio Clínico Diagnolab,552455600,,,,,
2201,Calama,Laboratorio Clínico Blanco,552344584,,,,,
2201,Calama,Laboratorio Clínico COMDES,552654420,,,,,
2101,Antofagasta,Laboratorio Sarita Núñez,552279731,,,,,
2101,Antofagasta,Centro de Salud Familiar Norte de Antofagasta,,,,,,
2101,Antofagasta,Centro de Salud Familiar Antonio Rendic (Ex Cautín),552656038,,,,,
2101,Antofagasta,Centro de Salud Familiar Corvallis,552656910,,,,,
2101,Antofagasta,Centro de Salud Familiar Centro Sur de Antofagasta,552331110,,,,,
2101,Antofagasta,Centro de Salud Familiar Juan Pablo II de Antofagasta,552656800,,,,,
2201,Calama,Centro de Salud Familiar Central de Calama,552656050,,,,,
2201,Calama,Centro de Salud Familiar Montt,552656650,,,,,
2201,Calama,Centro de Salud Familiar Alemania de Calama,552656891,,,,,
2101,Antofagasta,Centro de Salud Familiar Central Oriente de Antofagasta,552655100,,,,,
2302,Maria Elena,Centro de Salud Familiar María Elena,552265332,,,,,
2203,San Pedro de Atacama,Centro de Salud Familiar San Pedro Atacama,,,,,,
2201,Calama,Centro de Salud Familiar Norponiente,552654441,,,,,
2101,Antofagasta,Centro Asistencial Norte (CAN),552554000,,,,,
2103,Sierra Gorda,Posta de Salud Rural Baquedano,,,,,,
2103,Sierra Gorda,Posta de Salud Rural Sierra Gorda,,,,,,
2203,San Pedro de Atacama,Posta de Salud Rural Toconao,,,,,,
2203,San Pedro de Atacama,Posta de Salud Rural Peine,,,,,,
2203,San Pedro de Atacama,Posta de Salud Rural Socaire,,,,,,
2201,Calama,Posta de Salud Rural Caspana,,,,,,
2202,Ollagüe,Posta de Salud Rural Ollagüe,,,,,,
2201,Calama,Posta de Salud Rural Ayquina,,,,,,
2201,Calama,Posta de Salud Rural Chiu-Chiu,,,,,,
2302,Maria Elena,Posta de Salud Rural Quillagua (María Elena),,,,,,
2104,Taltal,Posta de Salud Rural Paposo,,,,,,
2203,San Pedro de Atacama,Estación de Salud Rural Río Grande,,,,,,
2201,Calama,COSAM Calama,552654015,,,,,
2101,Antofagasta,COSAM Sur de Antofagasta,552841592,,,,,
2101,Antofagasta,COSAM Central,552654893,,,,,
2301,Tocopilla,Policlínico Asociación Chilena de Seguridad AChS Tocopilla,,,,,,
2201,Calama,Policíinico Asociación Chilena de Seguridad AChS Calama,,,,,,
2102,Mejillones,Policlínico Asociación Chilena de Seguridad AChS Mejillones,,,,,,
2101,Antofagasta,SAPU Central Oriente de Antofagasta,552655124,,,,,
2101,Antofagasta,SAPU Centro Sur de Antofagasta,552655597,,,,,
2101,Antofagasta,Crystal Lab Scientific Diagnostics,552895584,,,,,
2201,Calama,Centro de Diálisis Renacer,552546708,,,,,
2201,Calama,Margaret Meneses Meneses,,,,,,
2101,Antofagasta,Centro de Diálisis Ehrlich Limitada,552380671,,,,,
2101,Antofagasta,Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann,552987088,,,,,
2101,Antofagasta,Centro Comunitario de Salud Familiar Antofagasta,,,,,,
2201,Calama,Centro Comunitario de Salud Familiar Sur,552254028,,,,,
2201,Calama,Centro Comunitario de Salud Familiar Alemania,,,,,,
2101,Antofagasta,SAPU Norte de Antofagasta,552237411,,,,,
2101,Antofagasta,SAPU Antonio Rendic,552656038,,,,,
2101,Antofagasta,SAPU Corvallis,552656910,,,,,
2101,Antofagasta,SAPU Juan Pablo II de Antofagasta,552298385,,,,,
2201,Calama,SAPUEnrique Montt,552654480,,,,,
2201,Calama,SAPU Alemania de Calama,552762943,,,,,
2201,Calama,Vacunatorio Sociedad de Enfermería Asistencial E.I.R.L,,,,,,
2101,Antofagasta,Vacunatorio Labonort Salud Integral,51586848,,,,,
2101,Antofagasta,Laboratorio Medinort Salud Ocupacional e Integral S.A.,552370400,,,,,
2101,Antofagasta,INMUNIN SpA,,,,,,
3101,Copiapó,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Atacama),,,,,,
3101,Copiapó,PRAIS (S.S Atacama),,,,,,
3101,Copiapó,Clínica Dental Móvil Simple. Pat. PW4068 (Copiapo),,,,,,
3101,Copiapó,Hospital San José del Carmen (Copiapó),522465600,,,,,
3201,Chañaral,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),522465550,,,,,
3202,Diego de Almagro,Hospital Dr. Florencio Vargas (Diego de Almagro),522465500,,,,,
3301,Vallenar,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),512331500,,,,,
3304,Huasco,Hospital Dr. Manuel Magalhaes Medling (Huasco),512331200,,,,,
3202,Diego de Almagro,Clínica San Lorenzo,522472352,,,,,
3101,Copiapó,Centro de Salud del Trabajador AChS Copiapó,522200550,,,,,
3101,Copiapó,Centro de Salud Mutual CChC Copiapó,522212750,,,,,
3301,Vallenar,Clínica del Trabajador AChS Vallenar,512613203,,,,,
3101,Copiapó,Centro de Salud Universidad de Atacama,522206556,,,,,
3301,Vallenar,Centro de Salud Compañía Acero del Pacifico,512613829,,,,,
3301,Vallenar,Laboratorio Bio-Test,512611854,,,,,
3101,Copiapó,Laboratorio Atacama,522212357,,,,,
3101,Copiapó,Clínica Indire,522213573,,,,,
3101,Copiapó,Centro de Salud CEDIMED,522240029,,,,,
3101,Copiapó,Laboratorio Clínico Guillermo Guaita,522211329,,,,,
3301,Vallenar,Laboratorio Clínico Huasco-Vallenar,512616694,,,,,
3101,Copiapó,Laboratorio Clínico SIAC Copiapo,522535383,,,,,
3301,Vallenar,Laboratorio Clínico Vallenar,512610558,,,,,
3101,Copiapó,Laboratorio Clínico Bionet S.A.,522200572,,,,,
3101,Copiapó,Laboratorio Clínico Diagnolab,522217272,,,,,
3101,Copiapó,Laboratorio Clínico Examed,522240987,,,,,
3301,Vallenar,Laboratorio Clínico Coprese,512616780,,,,,
3101,Copiapó,Clínica Atacama S.A.,522207524,,,,,
3101,Copiapó,Laboratorio Clinimed,522217543,,,,,
3101,Copiapó,Centro Médico y Diagnóstico Atacama SPA,522545900,,,,,
3101,Copiapó,Clínica Dial Vida,522210262,,,,,
3101,Copiapó,Centro de Diálisis Nefrodial Atacama,522215541,,,,,
3101,Copiapó,Centro de Diálisis Curanilahue,522366953,,,,,
3301,Vallenar,Centro de Diálisis Vallenar,512694559,,,,,
3301,Vallenar,Centro de Diálisis Renacer del Valle,512349714,,,,,
3101,Copiapó,Centro de Salud Familiar Santa Elvira,800500309,,,,,
3102,Caldera,Centro de Salud Familiar Rosario Corvalán,,,,,,
3101,Copiapó,Centro de Salud Familiar Juan Martínez,800500305,,,,,
3101,Copiapó,Centro de Salud Familiar Pedro León Gallo,800500308,,,,,
3101,Copiapó,Centro de Salud Familiar Rosario-Palomar,800500303,,,,,
3101,Copiapó,Centro de Salud Familiar Candelaria Rosario,800500302,,,,,
3101,Copiapó,Centro de Salud Familiar Manuel Rodríguez,522465191,,,,,
3101,Copiapó,Centro de Salud Familiar Paipote,800500307,,,,,
3103,Tierra Amarilla,Centro de Salud Familiar Dr. Salvador Allende Gossens,522320041,,,,,
3201,Chañaral,Centro de Salud Familiar Dr. Luis Herrera,800500301,,,,,
3202,Diego de Almagro,Centro de Salud Familiar El Salvador,522449584,,,,,
3301,Vallenar,Centro de Salud Familiar Estación,512614704,,,,,
3303,Freirina,Centro de Salud Familiar Freirina,512518725,,,,,
3301,Vallenar,Centro de Salud Familiar Hermanos Carrera,512614705,,,,,
3301,Vallenar,Centro de Salud Familiar Baquedano,512614592,,,,,
3301,Vallenar,Centro de Salud Familiar Joan Crawford Astudillo,512614561,,,,,
3304,Huasco,Centro de Salud Familiar Juan Verdaguer,512539049,,,,,
3101,Copiapó,Centro de Salud Familiar Dr. Bernardo Mellibovsky,800500304,,,,,
3302,Alto del Carmen,Centro de Salud Familiar Alto del Carmen,512617055,,,,,
3103,Tierra Amarilla,Posta de Salud Rural Los Loros,,,,,,
3201,Chañaral,Posta de Salud Rural El Salado de Chañaral,,,,,,
3202,Diego de Almagro,Posta de Salud Rural Inca de Oro,,,,,,
3302,Alto del Carmen,Posta de Salud Rural San Félix,,,,,,
3302,Alto del Carmen,Posta de Salud Rural El Tránsito,,,,,,
3301,Vallenar,Posta de Salud Rural Domeyko,,,,,,
3302,Alto del Carmen,Posta de Salud Rural Conay,,,,,,
3301,Vallenar,Posta de Salud Rural Hacienda Ventanas,,,,,,
3303,Freirina,Posta de Salud Rural Carrizalillo (Freirina),,,,,,
